freq,siec,nrg_cons,unit,tax,currency,geo,time,value
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BE,2015-S2,0.2352
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BE,2016-S1,0.2544
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BE,2016-S2,0.2745
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BE,2017-S1,0.2857
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BE,2017-S2,0.2877
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BE,2018-S1,0.2824
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BE,2018-S2,0.2936
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BE,2019-S1,0.2839
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BE,2019-S2,0.286
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BE,2020-S1,0.2792
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BE,2020-S2,0.2702
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BE,2021-S1,0.2702
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BE,2021-S2,0.2994
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BE,2022-S1,0.3437
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BE,2022-S2,0.4489
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BE,2023-S1,0.435
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BE,2023-S2,0.3778
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BE,2024-S1,0.3354
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BE,2024-S2,0.3313
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BE,2025-S1,0.3571
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BE,2025-S2,0.3499
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BG,2007-S2,0.0721
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BG,2008-S1,0.0711
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BG,2008-S2,0.0823
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BG,2009-S1,0.0823
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BG,2009-S2,0.0818
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BG,2010-S1,0.0813
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BG,2010-S2,0.083
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BG,2011-S1,0.0826
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BG,2011-S2,0.0874
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BG,2012-S1,0.0846
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BG,2012-S2,0.0955
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BG,2013-S1,0.0924
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BG,2013-S2,0.0882
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BG,2014-S1,0.0832
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BG,2014-S2,0.0895
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BG,2015-S1,0.0942
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BG,2015-S2,0.0957
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BG,2016-S1,0.0956
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BG,2016-S2,0.0938
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BG,2017-S1,0.0955
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BG,2017-S2,0.0983
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BG,2018-S1,0.0979
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BG,2018-S2,0.1005
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BG,2019-S1,0.0997
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BG,2019-S2,0.0958
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BG,2020-S1,0.0997
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BG,2020-S2,0.0982
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BG,2021-S1,0.1024
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BG,2021-S2,0.1091
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BG,2022-S1,0.1093
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BG,2022-S2,0.1147
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BG,2023-S1,0.1138
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BG,2023-S2,0.1192
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BG,2024-S1,0.1187
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BG,2024-S2,0.1217
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BG,2025-S1,0.13
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,BG,2025-S2,0.1355
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CY,2007-S2,0.1573
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CY,2008-S1,0.178
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CY,2008-S2,0.204
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CY,2009-S1,0.1558
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CY,2009-S2,0.1642
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CY,2010-S1,0.1858
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CY,2010-S2,0.2021
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CY,2011-S1,0.205
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CY,2011-S2,0.2413
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CY,2012-S1,0.2781
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CY,2012-S2,0.2909
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CY,2013-S1,0.276
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CY,2013-S2,0.2481
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CY,2014-S1,0.2291
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CY,2014-S2,0.2356
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CY,2015-S1,0.1957
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CY,2015-S2,0.1838
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CY,2016-S1,0.1527
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CY,2016-S2,0.1621
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CY,2017-S1,0.1863
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CY,2017-S2,0.1826
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CY,2018-S1,0.1893
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CY,2018-S2,0.2183
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CY,2019-S1,0.2203
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CY,2019-S2,0.2236
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CY,2020-S1,0.2133
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CY,2020-S2,0.1698
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CY,2021-S1,0.1976
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CY,2021-S2,0.2304
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CY,2022-S1,0.2607
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CY,2022-S2,0.3261
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CY,2023-S1,0.3739
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CY,2023-S2,0.3452
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CY,2024-S1,0.3241
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CY,2024-S2,0.3251
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CY,2025-S1,0.2932
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CY,2025-S2,0.2774
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CZ,2007-S1,0.1144
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CZ,2007-S2,0.1176
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CZ,2008-S1,0.1401
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CZ,2008-S2,0.1428
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CZ,2009-S1,0.1455
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CZ,2009-S2,0.1533
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CZ,2010-S1,0.1496
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CZ,2010-S2,0.1549
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CZ,2011-S1,0.1659
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CZ,2011-S2,0.1627
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CZ,2012-S1,0.1664
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CZ,2012-S2,0.1668
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CZ,2013-S1,0.1681
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CZ,2013-S2,0.1645
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CZ,2014-S1,0.1388
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CZ,2014-S2,0.1379
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CZ,2015-S1,0.1385
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CZ,2015-S2,0.1408
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CZ,2016-S1,0.142
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CZ,2016-S2,0.1421
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CZ,2017-S1,0.1438
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CZ,2017-S2,0.1488
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CZ,2018-S1,0.1573
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CZ,2018-S2,0.1586
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CZ,2019-S1,0.1748
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CZ,2019-S2,0.177
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CZ,2020-S1,0.1841
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CZ,2020-S2,0.1795
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CZ,2021-S1,0.1802
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CZ,2021-S2,0.1883
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CZ,2022-S1,0.2445
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CZ,2022-S2,0.1721
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CZ,2023-S1,0.319
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CZ,2023-S2,0.3151
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CZ,2024-S1,0.3381
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CZ,2024-S2,0.3302
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CZ,2025-S1,0.3179
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,CZ,2025-S2,0.3217
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DE,2007-S1,0.2025
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DE,2007-S2,0.2105
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DE,2008-S1,0.2148
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DE,2008-S2,0.2195
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DE,2009-S1,0.2282
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DE,2009-S2,0.2294
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DE,2010-S1,0.2375
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DE,2010-S2,0.2438
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DE,2011-S1,0.2528
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DE,2011-S2,0.2531
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DE,2012-S1,0.2595
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DE,2012-S2,0.2676
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DE,2013-S1,0.2919
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DE,2013-S2,0.2921
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DE,2014-S1,0.2981
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DE,2014-S2,0.2974
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DE,2015-S1,0.2951
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DE,2015-S2,0.2946
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DE,2016-S1,0.2969
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DE,2016-S2,0.2977
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DE,2017-S1,0.3048
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DE,2017-S2,0.3048
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DE,2018-S1,0.2987
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DE,2018-S2,0.3
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DE,2019-S1,0.3088
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DE,2019-S2,0.2878
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DE,2020-S1,0.3043
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DE,2020-S2,0.3006
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DE,2021-S1,0.3193
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DE,2021-S2,0.3234
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DE,2022-S1,0.3279
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DE,2022-S2,0.3357
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DE,2023-S1,0.4125
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DE,2023-S2,0.402
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DE,2024-S1,0.3951
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DE,2024-S2,0.3943
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DE,2025-S1,0.3835
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DE,2025-S2,0.3869
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DK,2007-S2,0.2401
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DK,2008-S1,0.2635
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DK,2008-S2,0.2785
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DK,2009-S1,0.2699
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DK,2009-S2,0.2555
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DK,2010-S1,0.267
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DK,2010-S2,0.2708
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DK,2011-S1,0.2908
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DK,2011-S2,0.2976
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DK,2012-S1,0.2997
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DK,2012-S2,0.2972
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DK,2013-S1,0.3
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DK,2013-S2,0.2936
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DK,2014-S1,0.3042
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DK,2014-S2,0.3035
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DK,2015-S1,0.3068
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DK,2015-S2,0.3042
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DK,2016-S1,0.3088
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DK,2016-S2,0.3084
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DK,2017-S1,0.3049
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DK,2017-S2,0.301
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DK,2018-S1,0.3126
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DK,2018-S2,0.3123
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DK,2019-S1,0.2984
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DK,2019-S2,0.2924
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DK,2020-S1,0.2833
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DK,2020-S2,0.2819
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DK,2021-S1,0.29
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DK,2021-S2,0.3448
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DK,2022-S1,0.4559
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DK,2022-S2,0.5871
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DK,2023-S1,0.3811
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DK,2023-S2,0.3554
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DK,2024-S1,0.3708
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DK,2024-S2,0.3763
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DK,2025-S1,0.3485
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,DK,2025-S2,0.3312
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,EE,2007-S2,0.0786
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,EE,2008-S1,0.0814
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,EE,2008-S2,0.085
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,EE,2009-S1,0.0922
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,EE,2009-S2,0.092
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,EE,2010-S1,0.097
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,EE,2010-S2,0.1004
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,EE,2011-S1,0.0973
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,EE,2011-S2,0.1042
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,EE,2012-S1,0.1096
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,EE,2012-S2,0.1123
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,EE,2013-S1,0.1351
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,EE,2013-S2,0.1367
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,EE,2014-S1,0.1307
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,EE,2014-S2,0.1325
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,EE,2015-S1,0.1302
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,EE,2015-S2,0.1291
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,EE,2016-S1,0.1208
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,EE,2016-S2,0.1238
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,EE,2017-S1,0.1207
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,EE,2017-S2,0.1319
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,EE,2018-S1,0.1348
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,EE,2018-S2,0.1418
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,EE,2019-S1,0.1357
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,EE,2019-S2,0.1411
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,EE,2020-S1,0.1236
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,EE,2020-S2,0.1291
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,EE,2021-S1,0.1324
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,EE,2021-S2,0.1939
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,EE,2022-S1,0.2056
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,EE,2022-S2,0.265
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,EE,2023-S1,0.216
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,EE,2023-S2,0.2339
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,EE,2024-S1,0.23
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,EE,2024-S2,0.2214
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,EE,2025-S1,0.2298
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,EE,2025-S2,0.2303
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,EL,2007-S2,0.0984
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,EL,2008-S1,0.1047
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,EL,2008-S2,0.1099
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,EL,2009-S1,0.1154
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,EL,2009-S2,0.1032
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,EL,2010-S1,0.1181
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,EL,2010-S2,0.1211
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,EL,2011-S1,0.125
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,EL,2011-S2,0.1238
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,EL,2012-S1,0.1391
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,EL,2012-S2,0.1418
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,EL,2013-S1,0.1563
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,EL,2013-S2,0.1697
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,EL,2014-S1,0.1767
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,EL,2014-S2,0.1785
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,EL,2015-S1,0.1767
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,EL,2015-S2,0.1771
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,EL,2016-S1,0.1716
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,EL,2016-S2,0.1723
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,EL,2017-S1,0.1711
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,EL,2017-S2,0.162
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,EL,2018-S1,0.1672
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,EL,2018-S2,0.1646
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,EL,2019-S1,0.1595
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,EL,2019-S2,0.1551
S,E7000,KWH2500-4999,KWH,I_TAX,EUR,EL,2020-S1,0.1674
