freq,unit,sector,cofog99,na_item,geo,time,value
A,PC_GDP,S13,GF05,TE,EE,2024,0.7
A,PC_GDP,S13,GF05,TE,EL,2015,1.5
A,PC_GDP,S13,GF05,TE,EL,2016,1.5
A,PC_GDP,S13,GF05,TE,EL,2017,1.4
A,PC_GDP,S13,GF05,TE,EL,2018,1.4
A,PC_GDP,S13,GF05,TE,EL,2019,1.4
A,PC_GDP,S13,GF05,TE,EL,2020,0.9
A,PC_GDP,S13,GF05,TE,EL,2021,0.8
A,PC_GDP,S13,GF05,TE,EL,2022,0.9
A,PC_GDP,S13,GF05,TE,EL,2023,1.0
A,PC_GDP,S13,GF05,TE,EL,2024,0.9
A,PC_GDP,S13,GF05,TE,ES,2015,0.9
A,PC_GDP,S13,GF05,TE,ES,2016,0.8
A,PC_GDP,S13,GF05,TE,ES,2017,0.8
A,PC_GDP,S13,GF05,TE,ES,2018,0.8
A,PC_GDP,S13,GF05,TE,ES,2019,0.9
A,PC_GDP,S13,GF05,TE,ES,2020,1.0
A,PC_GDP,S13,GF05,TE,ES,2021,0.9
A,PC_GDP,S13,GF05,TE,ES,2022,1.0
A,PC_GDP,S13,GF05,TE,ES,2023,1.0
A,PC_GDP,S13,GF05,TE,ES,2024,1.0
A,PC_GDP,S13,GF05,TE,FI,2015,0.2
A,PC_GDP,S13,GF05,TE,FI,2016,0.2
A,PC_GDP,S13,GF05,TE,FI,2017,0.2
A,PC_GDP,S13,GF05,TE,FI,2018,0.2
A,PC_GDP,S13,GF05,TE,FI,2019,0.2
A,PC_GDP,S13,GF05,TE,FI,2020,0.2
A,PC_GDP,S13,GF05,TE,FI,2021,0.2
A,PC_GDP,S13,GF05,TE,FI,2022,0.2
A,PC_GDP,S13,GF05,TE,FI,2023,0.2
A,PC_GDP,S13,GF05,TE,FI,2024,0.2
A,PC_GDP,S13,GF05,TE,FR,2015,0.9
A,PC_GDP,S13,GF05,TE,FR,2016,0.9
A,PC_GDP,S13,GF05,TE,FR,2017,0.9
A,PC_GDP,S13,GF05,TE,FR,2018,0.9
A,PC_GDP,S13,GF05,TE,FR,2019,0.9
A,PC_GDP,S13,GF05,TE,FR,2020,1.0
A,PC_GDP,S13,GF05,TE,FR,2021,1.0
A,PC_GDP,S13,GF05,TE,FR,2022,1.0
A,PC_GDP,S13,GF05,TE,FR,2023,1.0
A,PC_GDP,S13,GF05,TE,FR,2024,1.0
A,PC_GDP,S13,GF05,TE,HR,2015,0.8
A,PC_GDP,S13,GF05,TE,HR,2016,0.9
A,PC_GDP,S13,GF05,TE,HR,2017,0.8
A,PC_GDP,S13,GF05,TE,HR,2018,0.9
A,PC_GDP,S13,GF05,TE,HR,2019,0.9
A,PC_GDP,S13,GF05,TE,HR,2020,0.9
A,PC_GDP,S13,GF05,TE,HR,2021,0.9
A,PC_GDP,S13,GF05,TE,HR,2022,0.8
A,PC_GDP,S13,GF05,TE,HR,2023,0.9
A,PC_GDP,S13,GF05,TE,HR,2024,1.2
A,PC_GDP,S13,GF05,TE,HU,2015,1.2
A,PC_GDP,S13,GF05,TE,HU,2016,0.5
A,PC_GDP,S13,GF05,TE,HU,2017,0.7
A,PC_GDP,S13,GF05,TE,HU,2018,0.6
A,PC_GDP,S13,GF05,TE,HU,2019,0.7
A,PC_GDP,S13,GF05,TE,HU,2020,0.8
A,PC_GDP,S13,GF05,TE,HU,2021,0.7
A,PC_GDP,S13,GF05,TE,HU,2022,0.6
A,PC_GDP,S13,GF05,TE,HU,2023,0.6
A,PC_GDP,S13,GF05,TE,HU,2024,0.4
A,PC_GDP,S13,GF05,TE,IE,2015,0.4
A,PC_GDP,S13,GF05,TE,IE,2016,0.4
A,PC_GDP,S13,GF05,TE,IE,2017,0.3
A,PC_GDP,S13,GF05,TE,IE,2018,0.3
A,PC_GDP,S13,GF05,TE,IE,2019,0.4
A,PC_GDP,S13,GF05,TE,IE,2020,0.4
A,PC_GDP,S13,GF05,TE,IE,2021,0.3
A,PC_GDP,S13,GF05,TE,IE,2022,0.3
A,PC_GDP,S13,GF05,TE,IE,2023,0.4
A,PC_GDP,S13,GF05,TE,IE,2024,0.4
A,PC_GDP,S13,GF05,TE,IT,2015,0.9
A,PC_GDP,S13,GF05,TE,IT,2016,0.9
A,PC_GDP,S13,GF05,TE,IT,2017,0.9
A,PC_GDP,S13,GF05,TE,IT,2018,0.9
A,PC_GDP,S13,GF05,TE,IT,2019,0.9
A,PC_GDP,S13,GF05,TE,IT,2020,1.0
A,PC_GDP,S13,GF05,TE,IT,2021,1.0
A,PC_GDP,S13,GF05,TE,IT,2022,0.9
A,PC_GDP,S13,GF05,TE,IT,2023,0.9
A,PC_GDP,S13,GF05,TE,IT,2024,0.9
A,PC_GDP,S13,GF05,TE,LT,2015,0.6
A,PC_GDP,S13,GF05,TE,LT,2016,0.5
A,PC_GDP,S13,GF05,TE,LT,2017,0.5
A,PC_GDP,S13,GF05,TE,LT,2018,0.5
A,PC_GDP,S13,GF05,TE,LT,2019,0.5
A,PC_GDP,S13,GF05,TE,LT,2020,0.5
A,PC_GDP,S13,GF05,TE,LT,2021,0.5
A,PC_GDP,S13,GF05,TE,LT,2022,0.6
A,PC_GDP,S13,GF05,TE,LT,2023,0.5
A,PC_GDP,S13,GF05,TE,LT,2024,0.5
A,PC_GDP,S13,GF05,TE,LU,2015,0.8
A,PC_GDP,S13,GF05,TE,LU,2016,0.7
A,PC_GDP,S13,GF05,TE,LU,2017,0.8
A,PC_GDP,S13,GF05,TE,LU,2018,0.9
A,PC_GDP,S13,GF05,TE,LU,2019,0.9
A,PC_GDP,S13,GF05,TE,LU,2020,1.0
A,PC_GDP,S13,GF05,TE,LU,2021,0.9
A,PC_GDP,S13,GF05,TE,LU,2022,1.0
A,PC_GDP,S13,GF05,TE,LU,2023,1.1
A,PC_GDP,S13,GF05,TE,LU,2024,1.1
A,PC_GDP,S13,GF05,TE,LV,2015,0.7
A,PC_GDP,S13,GF05,TE,LV,2016,0.6
A,PC_GDP,S13,GF05,TE,LV,2017,0.6
A,PC_GDP,S13,GF05,TE,LV,2018,0.6
A,PC_GDP,S13,GF05,TE,LV,2019,0.6
A,PC_GDP,S13,GF05,TE,LV,2020,0.6
A,PC_GDP,S13,GF05,TE,LV,2021,0.6
A,PC_GDP,S13,GF05,TE,LV,2022,0.5
A,PC_GDP,S13,GF05,TE,LV,2023,0.5
A,PC_GDP,S13,GF05,TE,LV,2024,0.5
A,PC_GDP,S13,GF05,TE,MT,2015,1.7
A,PC_GDP,S13,GF05,TE,MT,2016,1.0
A,PC_GDP,S13,GF05,TE,MT,2017,0.9
A,PC_GDP,S13,GF05,TE,MT,2018,1.0
A,PC_GDP,S13,GF05,TE,MT,2019,1.2
A,PC_GDP,S13,GF05,TE,MT,2020,1.3
A,PC_GDP,S13,GF05,TE,MT,2021,1.2
A,PC_GDP,S13,GF05,TE,MT,2022,1.2
A,PC_GDP,S13,GF05,TE,MT,2023,1.1
A,PC_GDP,S13,GF05,TE,MT,2024,1.2
A,PC_GDP,S13,GF05,TE,NL,2015,1.3
A,PC_GDP,S13,GF05,TE,NL,2016,1.4
A,PC_GDP,S13,GF05,TE,NL,2017,1.3
A,PC_GDP,S13,GF05,TE,NL,2018,1.4
A,PC_GDP,S13,GF05,TE,NL,2019,1.3
A,PC_GDP,S13,GF05,TE,NL,2020,1.5
A,PC_GDP,S13,GF05,TE,NL,2021,1.4
A,PC_GDP,S13,GF05,TE,NL,2022,1.4
A,PC_GDP,S13,GF05,TE,NL,2023,1.5
A,PC_GDP,S13,GF05,TE,NL,2024,1.6
A,PC_GDP,S13,GF05,TE,PL,2015,0.6
A,PC_GDP,S13,GF05,TE,PL,2016,0.4
A,PC_GDP,S13,GF05,TE,PL,2017,0.4
A,PC_GDP,S13,GF05,TE,PL,2018,0.5
A,PC_GDP,S13,GF05,TE,PL,2019,0.5
A,PC_GDP,S13,GF05,TE,PL,2020,0.6
A,PC_GDP,S13,GF05,TE,PL,2021,0.6
A,PC_GDP,S13,GF05,TE,PL,2022,0.6
A,PC_GDP,S13,GF05,TE,PL,2023,0.7
A,PC_GDP,S13,GF05,TE,PL,2024,0.7
A,PC_GDP,S13,GF05,TE,PT,2015,0.6
A,PC_GDP,S13,GF05,TE,PT,2016,0.6
A,PC_GDP,S13,GF05,TE,PT,2017,0.6
A,PC_GDP,S13,GF05,TE,PT,2018,0.6
A,PC_GDP,S13,GF05,TE,PT,2019,0.6
A,PC_GDP,S13,GF05,TE,PT,2020,0.7
A,PC_GDP,S13,GF05,TE,PT,2021,0.8
A,PC_GDP,S13,GF05,TE,PT,2022,0.7
A,PC_GDP,S13,GF05,TE,PT,2023,0.7
A,PC_GDP,S13,GF05,TE,PT,2024,0.7
A,PC_GDP,S13,GF05,TE,RO,2015,1.0
A,PC_GDP,S13,GF05,TE,RO,2016,0.6
A,PC_GDP,S13,GF05,TE,RO,2017,0.5
A,PC_GDP,S13,GF05,TE,RO,2018,0.7
A,PC_GDP,S13,GF05,TE,RO,2019,0.7
A,PC_GDP,S13,GF05,TE,RO,2020,0.7
A,PC_GDP,S13,GF05,TE,RO,2021,0.7
A,PC_GDP,S13,GF05,TE,RO,2022,0.6
A,PC_GDP,S13,GF05,TE,RO,2023,0.7
A,PC_GDP,S13,GF05,TE,RO,2024,0.9
A,PC_GDP,S13,GF05,TE,SE,2015,0.4
A,PC_GDP,S13,GF05,TE,SE,2016,0.5
A,PC_GDP,S13,GF05,TE,SE,2017,0.5
A,PC_GDP,S13,GF05,TE,SE,2018,0.5
A,PC_GDP,S13,GF05,TE,SE,2019,0.5
A,PC_GDP,S13,GF05,TE,SE,2020,0.6
A,PC_GDP,S13,GF05,TE,SE,2021,0.6
A,PC_GDP,S13,GF05,TE,SE,2022,0.6
A,PC_GDP,S13,GF05,TE,SE,2023,0.6
A,PC_GDP,S13,GF05,TE,SE,2024,0.5
A,PC_GDP,S13,GF05,TE,SI,2015,1.1
A,PC_GDP,S13,GF05,TE,SI,2016,0.6
A,PC_GDP,S13,GF05,TE,SI,2017,0.5
A,PC_GDP,S13,GF05,TE,SI,2018,0.5
A,PC_GDP,S13,GF05,TE,SI,2019,0.6
A,PC_GDP,S13,GF05,TE,SI,2020,0.6
A,PC_GDP,S13,GF05,TE,SI,2021,0.7
A,PC_GDP,S13,GF05,TE,SI,2022,0.7
A,PC_GDP,S13,GF05,TE,SI,2023,0.9
A,PC_GDP,S13,GF05,TE,SI,2024,0.7
A,PC_GDP,S13,GF05,TE,SK,2015,1.0
A,PC_GDP,S13,GF05,TE,SK,2016,0.7
A,PC_GDP,S13,GF05,TE,SK,2017,0.6
A,PC_GDP,S13,GF05,TE,SK,2018,0.9
A,PC_GDP,S13,GF05,TE,SK,2019,0.8
A,PC_GDP,S13,GF05,TE,SK,2020,0.8
A,PC_GDP,S13,GF05,TE,SK,2021,0.7
A,PC_GDP,S13,GF05,TE,SK,2022,0.8
A,PC_GDP,S13,GF05,TE,SK,2023,0.9
A,PC_GDP,S13,GF05,TE,SK,2024,0.8
